id,name,slug,rank,active,banned,is_admin,is_moderator
700014,jonasz.marek,jonaszmarek,1,True,False,False,False
700010,Paweł1321,pawel1321,1,False,False,False,False
700024,Fuabf,fuabf,1,False,False,False,False
700050,Krystian Zamora,krystian-zamora,1,True,False,False,False
700018,Karol Homel,karol-homel,1,True,False,False,False
700023,Zuzek,zuzek,1,True,False,False,False
700034,Weronika Urbańska,weronika-urbanska,1,True,False,False,False
700003,Marcel Goławski,marcel-golawski,1,True,False,False,False
700032,viggx,viggx,1,False,False,False,False
700036,Sylwia Sawczuk,sylwia-sawczuk,1,True,False,False,False
700020,Kotel3131,kotel3131,1,True,False,False,False
700026,Karolina Sadowska,karolina-sadowska1,1,True,False,False,False
700030,LegendarnySannin,legendarnysannin,1,False,True,False,False
700015,Dawid Świąc,dawid-swiac,1,True,False,False,False
700049,Bartosz Kuchnowski,bartosz-kuchnowski,1,True,False,False,False
700057,Janusz5454,janusz5454,1,True,False,False,False
700063,Jan Katarina,jan-katarina,1,True,False,False,False
700064,Dawideczek1569sbdvdhs,dawideczek1569sbdvdhs,1,False,False,False,False
700065,Rafalos91,rafalos91,1,True,False,False,False
700066,Gregoria,gregoria,1,True,False,False,False
700070,Krzysztof_Marynarz_Krawczyk,krzysztof-marynarz-krawczyk,1,False,False,False,False
700071,makaj88,makaj88,1,True,False,False,False
700072,kacper.antczak69@gmail.com,kacperantczak69-at-gmailcom,1,False,False,False,False
700073,Kuba Jenkowski,kuba-jenkowski,1,True,False,False,False
700074,Isinio,isinio,1,True,False,False,False
700119,pabloeskobar,pabloeskobar,1,False,False,False,False
700120,6313147u,6313147u,1,True,False,False,False
700123,Adrnoskox2,adrnoskox2,1,False,False,False,False
700124,andrzejziom1,andrzejziom1,1,False,False,False,False
700078,Bar Tex,bar-tex,1,True,False,False,False
700080,panjan221,panjan221,1,False,False,False,False
700086,Jarek Żmijewski,jarek-zmijewski,1,True,False,False,False
700099,Kacper Tworek,kacper-tworek,1,True,False,False,False
700126,Mararas,mararas,1,False,False,False,False
700125,Oskar Krysiewicz,oskar-krysiewicz,1,True,False,False,False
700129,Bogdan Bodzak,bogdan-bodzak,1,True,False,False,False
700130,123Lolekbolek321,123lolekbolek321,1,False,False,False,False
700131,Kwejk_ssie_dzide,kwejk-ssie-dzide,1,False,False,False,False
700132,Joshua 221144,joshua-221144,1,True,False,False,False
700133,Yozhin,yozhin,1,True,False,False,False
700134,vhooi,vhooi,1,False,False,False,False
700140,Kapior12345671,kapior12345671,1,False,False,False,False
700135,Sebastian Kupis,sebastian-kupis,1,True,False,False,False
700137,wenta503,wenta503,1,True,False,False,False
700138,Szymon Nowak,szymon-nowak12,1,True,False,False,False
700186,Tomasz123grzyb,tomasz123grzyb,1,True,False,False,False
700143,majepake,majepake,1,True,False,False,False
700154,Jan Drugi Zapasowy Wnuk,jan-drugi-zapasowy-wnuk,1,True,False,False,False
